Name,Accuracy,RMinor,RMajor,RNopred,RError,NPP
Commercial Product,0.8286066584463625,0.07913669064748201,0.920863309352518,0.03795966785290629,0.0,0.0
MOMO (no neural network),0.9130966952264382,0.4507042253521127,0.5492957746478874,0.03084223013048636,0.0,0.0
MOMO (NWE in layer 5),0.9127837514934289,0.4383561643835616,0.5616438356164384,0.0071174377224199285,0.0,0.02372479240806643
MOMO (L4+NWE Merged),0.9127837514934289,0.4383561643835616,0.5616438356164384,0.0071174377224199285,0.0,0.16132858837485173
Pure Neural Network Ensemble,0.7269461077844311,0.37719298245614036,0.6228070175438597,0.009489916963226572,0.0,0.990510083036773428
MOMO (NWE in layer 4),0.8842482100238663,0.35051546391752575,0.6494845360824743,0.005931198102016607,0.0,0.16251482799525505
MOMO (NWE in layer 3),0.747016706443914,0.3490566037735849,0.6509433962264151,0.005931198102016607,0.0,0.9027283511269276
MOMO (L3+L4+NWE Merged MinVR),0.927120669056153,0.36065573770491804,0.639344262295082,0.0071174377224199285,0.0,0.8944246737841044
MOMO (NWE in layer 2),0.7279236276849642,0.37719298245614036,0.6228070175438597,0.005931198102016607,0.0,0.963226571767497
